ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
95614,40.7%,$,"6 03,501,785",14.4%,$,"4 29,068,407",18.6%,$,"3 75,196,274",60.8%,$,"3 16,433,030",$,"1 96,804,825"
95619,65.6%,$,"3 31,198,806",103.0%,$,"1 99,949,847",29.0%,$,"9 8,485,664",59.3%,$,"7 6,351,753",$,"4 7,917,647"
95623,47.5%,$,"5 64,043,452",67.2%,$,"3 82,407,294",21.2%,$,"2 28,719,353",64.1%,$,"1 88,721,634",$,"1 14,990,495"
95633,32.0%,$,"5 79,960,648",12.2%,$,"4 39,281,939",15.0%,$,"3 91,678,843",19.7%,$,"3 40,575,083",$,"2 84,485,477"
95634,32.8%,$,"5 42,062,696",13.2%,$,"4 08,059,472",21.1%,$,"3 60,385,432",23.9%,$,"2 97,700,966",$,"2 40,264,458"
95635,27.9%,$,"2 37,764,128",10.8%,$,"1 85,863,619",23.6%,$,"1 67,776,119",20.2%,$,"1 35,732,389",$,"1 12,965,120"
95636,44.3%,$,"9 4,101,963",-1.0%,$,"6 5,224,130",-33.4%,$,"6 5,896,163",47.9%,$,"9 8,894,650",$,"6 6,883,812"
95651,43.7%,$,"1 07,566,840",40.2%,$,"7 4,868,090",9.8%,$,"5 3,396,366",31.3%,$,"4 8,634,874",$,"3 7,048,734"
95664,16.6%,$,"2 59,103,245",22.2%,$,"2 22,194,819",5.6%,$,"1 81,868,271",69.5%,$,"1 72,284,328",$,"1 01,651,513"
95667,39.9%,$,"5 ,825,607,869",19.4%,$,"4 ,164,405,531",17.2%,$,"3 ,487,052,986",20.0%,$,"2 ,974,648,168",$,"2 ,479,728,248"
95672,37.5%,$,"6 62,469,327",43.2%,$,"4 81,691,329",25.7%,$,"3 36,462,447",89.5%,$,"2 67,720,396",$,"1 41,298,693"
95682,66.2%,$,"2 ,306,152,170",80.7%,$,"1 ,387,787,967",26.9%,$,"7 68,082,735",73.7%,$,"6 05,248,694",$,"3 48,450,317"
95684,15.7%,$,"5 61,696,691",29.2%,$,"4 85,651,585",5.7%,$,"3 75,953,825",45.7%,$,"3 55,730,955",$,"2 44,133,198"
95709,19.0%,$,"8 94,868,199",11.9%,$,"7 52,298,186",12.6%,$,"6 72,288,807",71.4%,$,"5 97,023,416",$,"3 48,275,256"
95720,4.0%,$,"7 3,312,535",15.0%,$,"7 0,481,403",6.9%,$,"6 1,305,323",22.5%,$,"5 7,325,877",$,"4 6,790,115"
95721,27.0%,$,"3 4,955,099",-2.9%,$,"2 7,521,699",-21.8%,$,"2 8,351,718",103.4%,$,"3 6,273,201",$,"1 7,833,194"
95726,15.5%,$,"1 ,884,592,852",11.2%,$,"1 ,631,486,084",14.3%,$,"1 ,467,460,713",21.4%,$,"1 ,283,964,633",$,"1 ,058,009,882"
95735,10.8%,$,"6 5,834,410",26.8%,$,"5 9,394,616",-11.3%,$,"4 6,848,572",58.5%,$,"5 2,807,466",$,"3 3,309,496"
95762,125.1%,$,"1 ,404,739,825",70.9%,$,"6 24,175,916",27.8%,$,"3 65,156,002",67.2%,$,"2 85,793,672",$,"1 70,962,474"
96142,46.8%,$,"8 48,976,358",93.8%,$,"5 78,229,060",56.1%,$,"2 98,375,170",95.5%,$,"1 91,110,172",$,"9 7,762,085"
