zip,expos_24,expos_23,expos_22,expos_21,expos_20
91765,1167413681,668393516,514412073,432065621,308063542
91766,307152232,172712614,143413956,139900699,136790518
91767,138800034,97573858,87506037,81400093,82531199
91768,122712794,99091486,80330091,72433927,70069974
91770,181907673,127188371,95697961,95649207,89827869
91773,421482858,243127940,154148529,125926098,114505288
91775,66675112,35276388,25070516,22712187,25014196
91776,137388931,67680365,51519859,45962973,51114993
91780,114484491,51788346,38836469,39374849,38524994
91784,281228774,149140293,104293850,80863293,59985229
91786,77825160,28824096,19905190,16745796,15512123
91789,430993269,201715258,153800834,130525768,126421210
91790,114549272,73044391,70019312,69278696,69656595
91791,198504314,93709283,76251891,63797053,68745026
91792,68607913,35903292,28545106,29489002,32504128
91801,129601329,87528987,67957466,68218349,67170134
91803,121329097,77920967,63862986,56860502,54540355
91901,2811193404,2290487248,1672581666,1048910247,767574081
91902,93528621,36147554,20298836,15695925,22824868
91905,100772426,64319635,46191220,37017207,24738863
91906,259574675,178594307,120145099,69812842,51655780
91910,108810854,33404925,14549703,14924394,9866523
91911,83072384,31343577,8797581,8392690,7058652
91913,122444658,30583713,9772039,7567189,3679125
91914,373964100,112219054,49457337,28227564,17640020
91915,131852510,22472208,9903064,5596402,5002560
91916,315397979,280425660,231495879,163080203,127963690
91917,52000824,43241471,36261604,31194602,23999689
91931,39287094,0,0,0,0
91932,20685917,11509562,5313527,5047694,2124424
91934,15812926,10847959,9112979,6960495,4644756
91935,1545063035,1210985655,935795569,655294238,510397294
91941,106029048,33082778,23471449,12263643,10022281
91942,44345252,3460249,3443527,2442778,2909498
91945,34344062,16926928,6318149,7280913,7093672
91950,49005820,14685967,12468423,12285098,13033549
91962,311909793,261368270,204778820,168632402,141425235
91963,46338656,39136228,29109955,21557853,16114655
91977,262126909,71460258,39330266,29616762,22214321
91978,248557701,139096177,86305092,55984081,50483345
91980,6640596,2757475,3106024,3582676,3884231
92003,438872352,233848037,129372241,51220444,20683447
92004,29163677,15607639,12852445,8457203,5316982
92007,36339039,5929565,3140850,260000,1795628
92008,100580782,27868824,24943782,16643187,8086351
92009,716103863,178868081,85401701,60532164,38962247
92010,99164674,24916357,8649476,6034765,2810801
92011,129361521,16066946,9795344,10742945,2562402
92014,211976006,73750952,39701216,20406254,12216540
92019,1183351592,559647872,327487929,200197674,127780193
92020,100824121,22654171,16432855,11999159,7229457
92021,972281442,488244921,259177949,140254105,92528962
92024,548646867,179121407,117104602,86030893,33979981
