ZIP,exposure_Sep24,exposure_Sep23,exposure_Sep22,exposure_Sep21,exposure_Sep20,policies_Sep24,policies_Sep23,policies_Sep22,policies_Sep21,policies_Sep20
92660,140616827,49818212,29486707,11927495,9740662,71,28,17,12,10
92661,42606123,3656868,4794574,4514104,2697572,16,2,4,5,3
92662,5454268,2322111,414335,386889,365400,3,3,1,1,1
92663,39053861,13069581,9912034,8713491,8576643,31,15,9,8,8
92672,398036311,124299324,51432661,37217932,25743087,294,94,46,29,25
92673,756503047,193154770,71696401,40199747,30694898,458,119,47,32,27
92675,538363813,165454531,86323151,71146083,50190251,299,101,65,61,53
92676,557710621,518584958,456468453,392353307,297455337,553,579,555,535,462
92677,654049654,235093164,151310673,121384535,78410226,440,178,125,95,76
92679,3615018976,2193155583,1534190188,1052634308,444836914,2186,1418,1078,840,441
92683,132459692,26518395,9914300,4718561,5060902,179,38,22,17,18
92688,607681028,155938412,48548523,40113061,28933356,614,155,61,54,43
92691,66438261,15497595,10253849,11397491,11765504,69,18,11,12,16
92692,183538879,47820940,23936788,28670621,22519847,153,42,24,31,27
92694,616068418,134474200,49400216,22956652,11030242,522,125,51,28,16
92701,72462647,35540391,30035202,27269274,29875324,89,66,63,67,77
92703,77896433,39291698,34297383,33389520,30330802,123,91,89,93,93
92704,116967609,55932879,31325162,29388423,28031467,163,87,80,82,84
92705,242504118,108297093,65618887,55792014,18026078,123,58,38,38,22
92706,35373905,15201828,5987155,2927842,3496264,23,12,8,6,6
92707,72309972,41825412,37825115,33597403,28318511,108,74,75,83,91
92708,76272688,16013193,9688616,8489029,7947833,64,18,12,15,14
92780,32418824,5055791,1324623,5770869,5336206,40,6,3,8,7
92782,86147964,28557173,13669564,10960538,4548249,68,22,14,11,5
92801,60005665,19466438,10841513,10030562,10524827,68,29,22,24,26
92802,27506691,8059786,8294654,6623800,7117956,23,12,12,11,13
92804,70093323,21521615,9971495,9021671,9285408,78,34,19,20,23
92805,76625247,34019848,15997761,13926404,11024651,73,28,29,28,22
92806,27883190,4980209,3105158,2407808,3299576,31,7,5,5,8
92807,374925660,146536989,89773276,75212147,41213120,314,114,73,66,43
92808,407439436,110103690,55285197,32447956,15515852,318,71,39,29,12
92821,286234021,114711370,74872611,57668081,40239506,211,102,73,71,56
92823,122219455,59851813,46685150,38854284,25281927,116,64,56,50,41
92831,41023794,20939375,9613509,9404362,7999170,41,21,12,12,12
92832,18855345,8711872,3925307,4973472,5409411,21,12,8,7,14
92833,74089080,30928997,16589800,14016381,12455171,81,36,23,25,24
92835,44206819,22497152,10726029,12877856,12115448,34,19,12,13,14
92840,43326799,8172359,3147637,3595771,3903060,46,10,5,7,8
92841,49933375,10297789,2868784,4418126,1233627,43,6,4,2,2
92843,33005818,8287727,5238067,5364793,5275726,44,11,7,8,10
92844,22380003,6191562,1185378,331659,315170,22,5,3,1,1
92845,5644343,390000,483400,0,0,7,1,1,0,0
92860,198646599,51171071,21716973,19247541,24513776,195,52,31,30,40
92861,26524137,8557613,6107160,2655579,801525,12,5,4,3,1
92865,12445249,4556925,4280800,3535008,2795354,12,5,6,5,4
92866,10790416,2896909,609015,2051018,1917997,13,3,2,3,3
92867,176983565,45982947,16344162,10359263,6991993,114,35,13,9,8
92868,14629106,5233779,4163696,3174262,5409295,17,7,5,3,8
92869,144846886,48480768,32778097,25275821,16790375,103,34,28,22,23
92870,44788464,23893693,13973517,7586739,8302331,48,26,15,11,15
92879,184673190,63186042,40205949,31290848,27908615,228,107,82,76,73
92880,481728748,127451087,64036527,54146960,43510439,440,130,82,77,69
92881,487432772,160011880,73956248,62624443,32634821,365,119,70,60,41
92882,1284141034,584406226,294892980,200802602,132579567,1225,577,325,253,198
92883,1483556664,590096628,238299510,143891141,61707708,1433,616,304,192,97
92886,645546252,172775065,107857767,100230207,51694479,423,135,89,89,59
92887,776831060,430580692,308187640,270416869,120440490,533,314,243,234,108
93001,495142262,321328468,228908683,152840503,81081041,467,298,237,196,134
93003,352754327,123312407,67761130,52543131,22642108,244,80,47,41,24
93004,53053201,24800703,19178699,9568431,1185680,60,22,14,9,3
93010,178840749,57063831,44847715,38502413,15132282,119,46,36,30,15
93012,532913130,272061538,196737314,137390644,69858152,316,148,114,93,57
93013,391124668,278959517,212982764,128805781,44553081,228,169,144,98,40
93015,198099710,141438998,115729626,54561700,30734540,195,149,133,79,51
93021,643704969,322022791,201617608,145098859,69239576,503,263,186,142,76
93022,253607355,98851564,56198220,26226463,14372007,217,96,54,31,23
93023,1744205773,1159882489,816636277,428510131,144902857,1293,810,598,353,173
93030,28795401,13096254,11788567,10942490,7722418,33,15,14,12,13
93033,79356497,26748726,19902632,17962162,9601058,96,42,24,27,20
93035,39241868,15260569,12467756,10669015,8368014,38,16,14,15,12
93036,40296762,20281838,9196226,10063831,5491399,47,28,17,19,15
93040,20746295,12175412,9841000,4686138,3509512,34,24,19,13,10
93041,17561148,5891794,3240115,1754555,1370184,24,6,6,4,3
93060,478603036,313040738,238596621,154357757,50738021,391,271,221,164,80
93063,858754147,385458717,288994859,236695355,179826424,739,378,318,285,250
93065,1220285744,479257611,279309434,202505456,127922672,932,352,226,187,139
93066,205254142,136882190,90993480,79005820,12567313,105,73,59,54,10
93067,87525179,35022685,10971016,9355920,437169,48,17,9,7,1
93101,144543450,37916506,14597672,12508768,9253300,95,38,24,23,18
